y,0,5,10,15,20,25,30,35,40,45
1,0.245296167,0.243086933,0.23674956,0.227018859,0.214788162,0.200876408,0.185925482,0.170392725,0.154583899,0.138693232
2,0.244894825,0.242702146,0.236407488,0.226730984,0.214553619,0.200688143,0.185774947,0.170272133,0.154486918,0.138614968
3,0.244229621,0.242064123,0.235839736,0.226252658,0.214163546,0.200374826,0.185524307,0.170071289,0.154325367,0.138484584
4,0.243306006,0.24117772,0.235049818,0.22558607,0.213619192,0.199937145,0.185173943,0.169790412,0.154099377,0.138302159
5,0.242131426,0.240049585,0.23404258,0.224734261,0.212922306,0.199376069,0.184724394,0.169429807,0.153809131,0.13806781
6,0.240715135,0.23868802,0.232824129,0.223701106,0.212075136,0.198692853,0.18417636,0.168989875,0.153454869,0.137781687
7,0.239067989,0.237102805,0.231401741,0.22249128,0.211080424,0.197889042,0.183530707,0.168471117,0.15303689,0.137443981
8,0.237202207,0.235305004,0.229783758,0.221110225,0.209941405,0.196966475,0.182788478,0.167874134,0.152555558,0.137054922
9,0.235131115,0.233306764,0.227979465,0.219564104,0.2086618,0.195927294,0.181950893,0.167199639,0.152011302,0.136614781
10,0.232868888,0.231121075,0.225998962,0.217859748,0.207245802,0.194773946,0.181019364,0.166448455,0.151404625,0.136123879
11,0.230430298,0.228761573,0.223853025,0.216004598,0.205698065,0.193509185,0.179995495,0.165621533,0.150736104,0.135582584
12,0.227830469,0.226242316,0.221552962,0.214006633,0.204023685,0.192136078,0.178881093,0.164719946,0.1500064,0.134991318
13,0.225084653,0.223577578,0.219110472,0.2118743,0.202228171,0.190657997,0.177678172,0.163744906,0.149216259,0.13435056
14,0.222208032,0.220781671,0.216537498,0.209616433,0.20031742,0.18907862,0.176388959,0.162697761,0.14836652,0.133660852
15,0.219215534,0.217868766,0.213846097,0.207242168,0.198297676,0.187401919,0.175015894,0.161580009,0.147458118,0.132922797
16,0.21612169,0.214852754,0.211048308,0.204760858,0.196175494,0.185632153,0.173561636,0.160393294,0.14649209,0.132137068
17,0.212940506,0.211747117,0.208156033,0.202181985,0.19395769,0.183773846,0.172029055,0.159139419,0.145469579,0.131304412
18,0.209685369,0.208564827,0.205180937,0.199515076,0.191651295,0.181831772,0.170421234,0.157820338,0.144391837,0.130425648
19,0.206368973,0.205318261,0.202134347,0.196769622,0.189263498,0.179810927,0.168741459,0.156438166,0.143260228,0.129501676
20,0.203003266,0.202019145,0.199027184,0.193954994,0.18680159,0.177716504,0.16699321,0.154995172,0.142076231,0.128533475
21,0.199599422,0.198678508,0.195869891,0.191080377,0.184272914,0.175553858,0.165180149,0.153493778,0.14084144,0.127522112
22,0.196167822,0.195306654,0.192672388,0.188154706,0.181684801,0.173328476,0.163306103,0.151936555,0.139557566,0.126468732
23,0.192718055,0.191913157,0.189444032,0.185186606,0.179044522,0.171045934,0.161375049,0.150326216,0.138226432,0.125374568
24,0.189258929,0.188506854,0.186193595,0.182184347,0.176359233,0.168711867,0.159391086,0.148665607,0.136849973,0.124240942
25,0.185798489,0.185095862,0.182929251,0.179155807,0.173635929,0.166331922,0.15735842,0.146957695,0.135430234,0.123069254
26,0.182344048,0.18168759,0.179658567,0.176108437,0.1708814,0.163911727,0.155281335,0.145205555,0.133969358,0.121860995
27,0.178902214,0.17828877,0.176388514,0.173049247,0.168102193,0.161456846,0.153164165,0.14341236,0.13246959,0.120617726
28,0.175478932,0.174905483,0.173125476,0.169984787,0.16530458,0.158972751,0.151011273,0.14158136,0.130933255,0.119341093
29,0.172079517,0.171543196,0.169875264,0.166921141,0.162494532,0.156464783,0.148827017,0.139715867,0.129362768,0.118032821
30,0.168708697,0.168206792,0.166643144,0.163863932,0.159677698,0.153938126,0.146615728,0.137819236,0.127760598,0.116694686
31,0.165370654,0.164900611,0.163433854,0.16081832,0.15685939,0.151397778,0.144381682,0.135894846,0.126129282,0.115328542
32,0.162069063,0.161628486,0.160251637,0.15778902,0.154044574,0.148848528,0.142129074,0.133946083,0.124471397,0.113936282
33,0.158807127,0.158393778,0.157100271,0.154780309,0.151237863,0.14629494,0.139861998,0.131976318,0.122789554,0.112519857
34,0.155587622,0.155199412,0.153983091,0.151796048,0.148443521,0.143741335,0.137584426,0.129988891,0.121086381,0.111081252
