y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.245296167,0.245363045,0.245564097,0.24590058,0.246374633,0.246989296,0.247748604,0.248657665,0.249722789,0.250951645,0.252353468,0.253939326,0.255722465,0.257718761,0.25994732,0.262431282,0.265198922,0.268285197,0.27173397,0.275601314,0.279960626,0.284910901,0.29059081,0.297203509,0.305054997,0.314496193,0.324908548,0.335423341,0.345367014,0.353189192,0.359273632,0.36266147,0.363763704,0.361608125,0.357325695,0.350960609,0.343655986,0.336025735,0.32829181,0.320550675,0.312850608,0.305217741,0.297666624,0.290205331,0.282838023,0.275566427,0.268390739,0.261310107,0.254323069,0.247427699,0.240621819,0.233903092,0.227269092,0.220717334,0.214245554,0.207850881,0.20153132,0.195284431,0.189107941,0.182999667,0.176957756,0.170979364,0.165063317,0.159207459,0.153409988,0.147669129,0.141983214,0.136350628,0.130769826,0.125239333,0.119757712,0.114323619,0.108935729,0.103592773,0.098293624,0.093037057,0.087822003,0.0826474,0.077512251,0.07241559,0.067356491,0.0623341,0.057347565,0.052396098,0.047478944,0.042595391,0.03774477,0.032926439,0.028139829,0.023384368,0.018659557,0.013964935,0.009300084,0.004664644,5.82992E-05,-0.0045192,-0.009068041,-0.013588339,-0.018080124,-0.022543333,-0.02697779
2,0.244894825,0.244960866,0.245159399,0.245491631,0.24595961,0.246566264,0.247315457,0.248212089,0.249262159,0.250472999,0.251853365,0.253413723,0.255166532,0.257126635,0.259311757,0.261743166,0.264446497,0.267452991,0.270800967,0.274537969,0.278723571,0.283432871,0.288759777,0.294815108,0.301698439,0.309381484,0.317520038,0.325592057,0.332974693,0.339067556,0.343531627,0.346087083,0.346593999,0.344989157,0.341537233,0.33659879,0.330673727,0.324187499,0.317397108,0.310448317,0.303426613,0.296384274,0.289354561,0.282359051,0.275412025,0.268522894,0.261697826,0.254940556,0.248253887,0.24163837,0.235094992,0.228623092,0.222222192,0.21589135,0.209629415,0.203435073,0.197306949,0.191243535,0.18524336,0.179304866,0.173426547,0.167606891,0.16184441,0.156137628,0.150485125,0.144885536,0.13933747,0.133839636,0.128390764,0.122989629,0.11763497,0.112325916,0.107061089,0.101839583,0.096660343,0.091522437,0.086424912,0.08136693,0.076347643,0.071366263,0.066422042,0.061514272,0.056642291,0.051805481,0.047003264,0.042235114,0.037500547,0.032799128,0.028130477,0.023494266,0.018890225,0.01431815,0.009777895,0.005269406,0.00079271,-0.003652101,-0.00806478,-0.012444987,-0.01679223,-0.021105849,-0.025384982
3,0.244229621,0.244294296,0.244488698,0.24481396,0.245271999,0.245865544,0.246598193,0.247474493,0.248500012,0.249681478,0.251026918,0.252545846,0.254249495,0.256151105,0.258266282,0.260613437,0.26321433,0.266094709,0.269285041,0.272821226,0.276745,0.281103188,0.285943632,0.291302525,0.297173065,0.303449559,0.309883766,0.316115074,0.321729585,0.326340479,0.329653086,0.331464366,0.33166753,0.330269464,0.32741676,0.323358298,0.318397071,0.312816887,0.30683311,0.300593383,0.294196326,0.287708188,0.281174193,0.274625726,0.268084875,0.26156734,0.25508434,0.248643884,0.242251671,0.235911676,0.229626613,0.223398242,0.217227604,0.211115196,0.205061101,0.199065084,0.193126681,0.187245243,0.181419983,0.175650031,0.169934431,0.164272185,0.158662495,0.153103668,0.147595306,0.14213615,0.136725178,0.131361264,0.126043734,0.120771306,0.115543143,0.110358338,0.105216012,0.100115319,0.095055447,0.090035616,0.085055105,0.080113198,0.075209238,0.070342602,0.065512709,0.060719024,0.05596105,0.05123834,0.046550492,0.041897157,0.03727804,0.032692901,0.028141562,0.023623915,0.019139916,0.014689613,0.010273133,0.005890707,0.001542677,-0.002770487,-0.00704817,-0.011289581,-0.015493736,-0.019659411,-0.023785101
4,0.243306006,0.243368814,0.24355758,0.243873336,0.244317817,0.244893502,0.245603634,0.2464523,0.247444475,0.248586145,0.249884369,0.251347443,0.25298504,0.254808385,0.256830458,0.259066199,0.26153272,0.264249445,0.26723809,0.270522247,0.274126115,0.278071484,0.282371289,0.287017205,0.291959374,0.297082265,0.302192616,0.307033888,0.311321267,0.314785174,0.317206405,0.318433047,0.318389765,0.317086212,0.314617887,0.311147939,0.30687506,0.301996148,0.296678942,0.291053224,0.285215236,0.279234814,0.273162731,0.267029865,0.260882163,0.254721245,0.248568441,0.24243507,0.236329668,0.230258576,0.224226558,0.218237102,0.21229282,0.206395448,0.200546235,0.194745935,0.188994955,0.183293425,0.177641243,0.172038152,0.166483746,0.160977528,0.155518918,0.15010728,0.144741942,0.139422201,0.134147342,0.128916641,0.123729362,0.118584804,0.113482251,0.108421013,0.103400421,0.098419828,0.093478614,0.088576182,0.083711973,0.078885459,0.074096143,0.06934357,0.064627324,0.059947025,0.055302361,0.050693032,0.046118812,0.041579534,0.037075077,0.032605391,0.028170497,0.023770494,0.019405565,0.015075989,0.010782157,0.006524572,0.002303881,-0.001879112,-0.006023424,-0.010127857,-0.014190969,-0.018211021,-0.022185927
5,0.242131426,0.242191912,0.242373672,0.242677613,0.243105264,0.24365879,0.244341025,0.245155507,0.246106525,0.247199172,0.248439407,0.249834127,0.251391232,0.253119698,0.255029616,0.257132206,0.259439721,0.261965209,0.264721951,0.267722368,0.27097598,0.274485807,0.278242399,0.282214823,0.286339242,0.290508699,0.294570624,0.298336827,0.301604259,0.304180329,0.305905133,0.306666541,0.30640906,0.305139857,0.302916088,0.299852506,0.296082455,0.29174625,0.286972341,0.281874814,0.276521506,0.270998194,0.265349707,0.259615508,0.253825543,0.248003321,0.242166241,0.236328223,0.230499948,0.224689722,0.218903992,0.213147754,0.207424874,0.201738292,0.196090257,0.190482423,0.184915996,0.179391812,0.173910421,0.16847212,0.163077032,0.157725118,0.15241623,0.147150113,0.141926449,0.136744862,0.131604936,0.126506213,0.12144825,0.116430526,0.111452636,0.106514037,0.101614282,0.096752918,0.091929505,0.087143632,0.082394905,0.077682962,0.073007474,0.068368146,0.063764708,0.059196981,0.054664762,0.050167942,0.045706455,0.041280297,0.036889528,0.032534276,0.028214753,0.023931256,0.01968418,0.015474028,0.01130143,0.007167152,0.003072121,-0.000982552,-0.004995549,-0.008965301,-0.012889956,-0.016767322,-0.020594804
6,0.240715135,0.240772898,0.240946444,0.241236544,0.241644489,0.242172105,0.242821766,0.243596411,0.244499569,0.245535379,0.246708608,0.248024666,0.249489599,0.251110062,0.25289324,0.254846684,0.256978027,0.259294476,0.261801969,0.264503808,0.267397626,0.270476565,0.273715842,0.277075809,0.280491501,0.283869484,0.28708867,0.290007673,0.292477898,0.294359208,0.295534525,0.295920903,0.295476315,0.294201972,0.292139572,0.289363264,0.285967652,0.282054666,0.277722574,0.273059035,0.268138293,0.263021194,0.257756656,0.252383621,0.246932958,0.241429113,0.235891464,0.230335397,0.224773155,0.219214491,0.213667187,0.208137447,0.202630222,0.197149443,0.191698227,0.18627903,0.180893767,0.175543918,0.170230606,0.164954661,0.159716676,0.154517047,0.149356032,0.144233728,0.139150152,0.134105249,0.129098875,0.124130847,0.119200944,0.114308929,0.109454538,0.104637497,0.099857536,0.095114388,0.090407791,0.0857375,0.081103294,0.07650497,0.07194236,0.067415322,0.062923753,0.058467592,0.054046827,0.049661492,0.04531168,0.040997548,0.036719321,0.032477302,0.028271879,0.02410354,0.019972876,0.015880598,0.011827558,0.007814762,0.003843393,-8.51638E-05,-0.003969287,-0.007807087,-0.011596352,-0.015334504,-0.019018523
7,0.239067989,0.239122689,0.239286996,0.239561534,0.239947349,0.240445905,0.241059092,0.241789227,0.24263905,0.243611724,0.2447108,0.245940201,0.247304144,0.248807043,0.250453329,0.252247195,0.254192165,0.256290486,0.258542184,0.260943717,0.263486062,0.266152157,0.268913717,0.271727763,0.274533647,0.277251829,0.279785716,0.28202646,0.283865205,0.285196089,0.285933136,0.286014368,0.285407395,0.284110855,0.282152468,0.279583658,0.276471962,0.272892588,0.268921033,0.264627749,0.260075215,0.255316932,0.250397671,0.245354365,0.240217226,0.235010857,0.229755261,0.22446669,0.219158356,0.213841011,0.208523411,0.203212689,0.197914661,0.192634063,0.187374752,0.182139846,0.176931918,0.171752941,0.16660465,0.16148829,0.156404905,0.151355271,0.146340016,0.141359594,0.13641429,0.131504414,0.126630017,0.121791198,0.116987971,0.112220311,0.107488167,0.102791462,0.098130114,0.09350403,0.088913124,0.084357326,0.079836543,0.075350759,0.070899946,0.066484113,0.062103306,0.057757508,0.053447166,0.049172149,0.044932808,0.04072945,0.036562457,0.032432297,0.028339524,0.024284797,0.020268891,0.016292712,0.012357311,0.008463909,0.004613916,0.000808962,-0.002949074,-0.006658022,-0.010315376,-0.013918238,-0.017463249
8,0.237202207,0.237253566,0.237407801,0.237665388,0.238027119,0.238494099,0.239067727,0.239749699,0.240541976,0.241446755,0.242466419,0.243603468,0.244860403,0.246239577,0.247742961,0.249371824,0.251126263,0.253004562,0.255002303,0.257111172,0.25931743,0.261600047,0.26392863,0.266261473,0.268544251,0.270710066,0.272681441,0.274374495,0.275704866,0.276594556,0.276978463,0.276809688,0.276062912,0.274735406,0.272845701,0.270430082,0.267537596,0.264224507,0.260549183,0.256568093,0.252333211,0.247890687,0.243280479,0.238536599,0.233687664,0.228757583,0.223766244,0.21873015,0.213662985,0.208576087,0.203478859,0.198379096,0.193283264,0.188196729,0.183123934,0.178068591,0.173033732,0.168021922,0.16303522,0.158075375,0.153143785,0.148241601,0.14336978,0.138529063,0.13372009,0.128943323,0.124199161,0.119487906,0.114809796,0.110165011,0.105553702,0.100975972,0.09643192,0.091921625,0.087445161,0.083002609,0.078594058,0.074219611,0.069879393,0.065573559,0.061302295,0.057065829,0.052864434,0.048698435,0.044568218,0.040474236,0.036417019,0.032397182,0.028415435,0.024472596,0.020569609,0.016707549,0.012887649,0.009111318,0.005380166,0.001696028,-0.001938996,-0.005522508,-0.009051765,-0.01252362,-0.015934463
9,0.235131115,0.23517892,0.235322447,0.235562025,0.235898203,0.236331722,0.236863523,0.237494693,0.238226452,0.239060099,0.239996898,0.241038074,0.242184579,0.243436955,0.244795073,0.246257786,0.247822473,0.249484438,0.25123613,0.25306618,0.254958244,0.256889723,0.258830494,0.260741897,0.262576329,0.264277819,0.265783864,0.26702859,0.267946936,0.268479332,0.268576186,0.268201516,0.267335306,0.265974227,0.264130768,0.261830937,0.259110899,0.256013284,0.252583545,0.248866995,0.244906634,0.240741828,0.236407664,0.231934848,0.227349869,0.222675405,0.217930613,0.213131861,0.208292863,0.203425203,0.198538636,0.19364138,0.188740353,0.183841384,0.178949383,0.174068486,0.169202185,0.16435342,0.159524653,0.154717988,0.149935167,0.145177661,0.14044672,0.135743379,0.131068511,0.126422852,0.121807017,0.11722153,0.112666835,0.108143309,0.103651283,0.09919104,0.094762845,0.09036694,0.086003551,0.081672913,0.077375256,0.073110826,0.068879886,0.064682725,0.060519667,0.056391068,0.052297336,0.048238927,0.04421636,0.040230222,0.036281178,0.032369982,0.028497485,0.02466465,0.020872566,0.017122466,0.013415738,0.009753955,0.006138893,0.002572561,-0.000942767,-0.004404511,-0.007809747,-0.011155151,-0.014436941
10,0.232868888,0.232912992,0.233045367,0.233266208,0.233575825,0.233974629,0.234463114,0.235041814,0.235711262,0.236471922,0.237324107,0.238267864,0.239302824,0.240428005,0.24164156,0.242940441,0.244319981,0.245773375,0.247291035,0.248859853,0.25046237,0.252075946,0.253672025,0.2552157,0.256665758,0.257975438,0.259094013,0.25996919,0.260550118,0.260790658,0.26065249,0.260107645,0.259140134,0.257746492,0.255935202,0.253725173,0.251143476,0.248222771,0.244998743,0.241507866,0.23778566,0.233865493,0.229777871,0.22555013,0.221206397,0.216767734,0.212252388,0.207676075,0.20305228,0.19839256,0.193706771,0.189003352,0.184289491,0.179571335,0.174854117,0.170142327,0.165439779,0.160749743,0.156075017,0.151417989,0.146780703,0.142164916,0.137572127,0.133003628,0.128460525,0.123943777,0.119454215,0.114992561,0.110559447,0.106155431,0.101781015,0.097436651,0.093122757,0.088839728,0.084587938,0.080367747,0.076179559,0.072023718,0.067900629,0.063810711,0.059754408,0.055732206,0.051744595,0.04779227,0.043875758,0.039995807,0.036153208,0.032348838,0.028583676,0.024858815,0.021175474,0.017535018,0.01393897,0.010389039,0.006887139,0.003435418,3.62849E-05,-0.003307548,-0.006593031,-0.009816724,-0.012974749
